term,semester,category,initials,description,date
block1,Fall 2017,Fees,DF,Drop/Audit Fee Begins ($10 per class),8/24/2017
block1,Fall 2017,Fees,LF,$50 Late Registration/Payment Fee,8/29/2017
block1,Fall 2017,Fees,NP,Courses dropped for non-payment,8/25/2017
block1,Fall 2017,Fees,RE,Residency Application Deadline,8/30/2017
block1,Fall 2017,Fees,RF,Last Day for Refund,8/29/2017
block1,Fall 2017,Fees,TD,Tuition and Fees Due,8/21/2017
block1,Fall 2017,Registration,AA,Last Day to Add/Audit,8/31/2017
block1,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,9/28/2017
block1,Fall 2017,Registration,DD,Last Day to Drop Individual Class,9/15/2017
block1,Fall 2017,Registration,E,Classwork Ends for 1st 7 week block,10/9/2017
block1,Fall 2017,Registration,SG,Last Day to Add Without Signature,8/22/2017
block1,Fall 2017,Registration,WG,Last Day to drop without receiving a 'W' grade,8/29/2017
block1,Fall 2017,Registration,WL,Last Day for Waitlist,8/21/2017
block1,Fall 2017,Classwork,FE,Final Exams for 1st 7 week block,10/10/2017
block1,Fall 2017,Classwork,CB,Classwork Begins,8/21/2017
block1,Fall 2017,Breaks,FB,Fall Break,10/12/2017
block1,Fall 2017,Breaks,FB,Fall Break,10/13/2017
block1,Fall 2017,Holiday,H,Labor Day,9/4/2017
block1,Fall 2017,Graduation,GR,Associate's Degree Graduation Deadline Fall 2017,10/1/2017
block1,Fall 2017,Faculty,FW,Faculty Workshops,8/14/2017
block1,Fall 2017,Faculty,FW,Faculty Workshops,8/15/2017
block1,Fall 2017,Faculty,FW,Faculty Workshops,8/16/2017
block1,Fall 2017,Faculty,FW,Faculty Workshops,8/17/2017
block1,Fall 2017,Faculty,FW,Faculty Workshops,8/18/2017
