term,semester,category,initials,description,date
Full,Fall 2017,Fees,DF,Drop/Audit Fee Begins ($10 per class),8/30/2017
Full,Fall 2017,Fees,LF,$50 Late Registration/Payment Fee,8/29/2017
Full,Fall 2017,Fees,NP,Courses dropped for non-payment,8/25/2017
Full,Fall 2017,Fees,PG,Pell Grant Census,9/11/2017
Full,Fall 2017,Fees,R1,End of 100% Refund Period,9/1/2017
Full,Fall 2017,Fees,R5,Start 50% Refund Period,9/5/2017
Full,Fall 2017,Fees,RE,Residency Application Deadline,8/30/2017
Full,Fall 2017,Fees,RF,Last Day for Refund,9/11/2017
Full,Fall 2017,Fees,TD,Tuition and Fees Due,8/21/2017
Full,Fall 2017,Registration,AA,Last Day to Add/Audit,9/15/2017
Full,Spring 2018,Registration,CA,Class Schedules Available Online,10/23/2017
Full,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,11/10/2017
Full,Fall 2017,Registration,DD,Last Day to Drop Individual Class,10/16/2017
Full,Fall 2017,Registration,E,Classwork Ends,12/8/2017
Full,Fall 2017,Registration,IA,Application Deadline for International Students,7/1/2017
Full,Spring 2018,Registration,JR,Registration open to Juniors (60+ Credits),11/14/2017
Full,Spring 2018,Registration,OR,Open Registration,11/16/2017
Full,Spring 2018,Registration,SG,Last Day to Add Without Signature,8/25/2017
Full,Spring 2018,Registration,SO,Registration open to Sophomores (30+ Credits),11/15/2017
Full,Spring 2018,Registration,SR,Registration open to Seniors (90+ credits),11/13/2017
Full,Fall 2017,Registration,WG,Last Day to drop without receiving a 'W' grade,9/11/2017
Full,Fall 2017,Registration,WL,Last Day for Waitlist,8/24/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/11/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/12/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/13/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/14/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/15/2017
Full,Fall 2017,Classwork,MT,Mid-Term Grades Due,10/11/2017
Full,Fall 2017,Classwork,RD,Reading Day,
Full,Fall 2017,Classwork,CB,Classwork Begins,8/21/2017
Full,Fall 2017,Breaks,FB,Fall Break,10/12/2017
Full,Fall 2017,Breaks,FB,Fall Break,10/13/2017
Full,Fall 2017,Holiday,H,Labor Day,9/4/2017
Full,Fall 2017,Holiday,H,Thanksgiving Break,11/22/2017
Full,Fall 2017,Holiday,H,Thanksgiving Break,11/23/2017
Full,Fall 2017,Holiday,H,Thanksgiving Break,11/24/2017
Full,Fall 2017,Graduation,GR,Associate's Degree Graduation Deadline Fall 2017,10/1/2017

Full,Spring 2018,Graduation,GR,Associate's Degree Graduation Deadline Spring 2018,2/1/2018
Full,Spring 2018,Graduation,GR,Bachelor's Degree Graduation Deadline Spring 2018,11/1/2017
Full,Summer 2018,Graduation,GR,Bachelor's Degree Graduation Deadline Summer 2018,3/1/2018
