term,semester,category,initials,description,date
Full,Fall 2017,Fees,DF,Drop/Audit Fee Begins ($10 per class),8/30/2017
Full,Fall 2017,Fees,LF,$50 Late Registration/Payment Fee,8/29/2017
Full,Fall 2017,Fees,NP,Courses dropped for non-payment,8/25/2017
Full,Fall 2017,Fees,PG,Pell Grant Census,9/11/2017
Full,Fall 2017,Fees,R1,End of 100% Refund Period,9/1/2017
Full,Fall 2017,Fees,R5,Start 50% Refund Period,9/5/2017
Full,Fall 2017,Fees,UR,Utah Residency Application Deadline,8/30/2017
Full,Fall 2017,Fees,RF,Last Day for Refund,9/11/2017
Full,Fall 2017,Fees,TD,Tuition and Fees Due,8/21/2017
Full,Fall 2017,Registration,AA,Last Day to Add/Audit,9/15/2017
Full,Fall 2017,Registration,CA,Spring and Summer 2018 Class Schedules Available Online,10/23/2017
Full,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,11/10/2017
Full,Fall 2017,Registration,DD,Last Day to Drop Individual Class,10/16/2017
Full,Fall 2017,Registration,IA,Application Deadline for International Students,7/1/2017
Full,Fall 2017,Registration,SG,Last Day to Add Without Signature,8/25/2017
Full,Fall 2017,Registration,JR,Spring 2018 Registration open to Juniors (60+ Credits),11/14/2017
Full,Fall 2017,Registration,OR,Spring 2018 Open Registration,11/16/2017
Full,Fall 2017,Registration,SO,Spring 2018 Registration open to Sophomores (30+ Credits),11/15/2017
Full,Fall 2017,Registration,SR,Spring 2018 Registration open to Seniors (90+ credits),11/13/2017
Full,Fall 2017,Registration,WG,Last Day to drop without receiving a 'W' grade,9/11/2017
Full,Fall 2017,Registration,WL,Last Day for Waitlist,8/24/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/11/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/12/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/13/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/14/2017
Full,Fall 2017,Classwork,FE,Final Exams,12/15/2017
Full,Fall 2017,Faculty,MT,Mid-Term Grades Due,10/11/2017
Full,Fall 2017,Faculty,FG,Final Grades Grades Due,12/19/2017
Full,Fall 2017,Classwork,CB,Classwork Begins,8/21/2017
Full,Fall 2017,Classwork,CE,Classwork Ends,12/8/2017
Full,Fall 2017,Breaks,FB,Fall Break,10/12/2017
